date,open,high,low,close,tick_volume
2026-03-12 12:04:00,5177.55,5179.03,5177.13,5177.43,
2026-03-12 12:05:00,5177.43,5177.59,5176.41,5177.46,
2026-03-12 12:06:00,5177.43,5178.12,5176.45,5176.45,
2026-03-12 12:07:00,5176.45,5177.06,5175.63,5177.05,
2026-03-12 12:08:00,5177.05,5177.32,5176.27,5176.27,
2026-03-12 12:09:00,5176.26,5181.17,5175.71,5179.72,
2026-03-12 12:10:00,5179.72,5179.83,5178.28,5178.76,
2026-03-12 12:11:00,5178.75,5178.86,5177.69,5178.11,
2026-03-12 12:12:00,5178.11,5178.87,5175.85,5175.99,
2026-03-12 12:13:00,5175.97,5177.46,5175.94,5176.48,
2026-03-12 12:14:00,5176.48,5177.03,5175.81,5176.53,
2026-03-12 12:15:00,5176.53,5176.73,5175.71,5176.31,
2026-03-12 12:16:00,5176.3,5176.73,5175.85,5176.31,
2026-03-12 12:17:00,5176.31,5177.46,5175.97,5177.46,
2026-03-12 12:18:00,5177.46,5179.09,5177.03,5177.52,
2026-03-12 12:19:00,5177.52,5177.82,5176.88,5176.94,
2026-03-12 12:20:00,5176.94,5177.32,5175.67,5176.19,
